wavelength,tdTomato ex,tdTomato em,tdTomato 2p
300,0.1397,,
301,0.1245,,
302,0.1107,,
303,0.1001,,
304,0.0908,,
305,0.0852,,
306,0.081,,
307,0.0784,,
308,0.0782,,
309,0.0785,,
310,0.0796,,
311,0.082,,
312,0.084,,
313,0.0878,,
314,0.0915,,
315,0.0959,,
316,0.0998,,
317,0.1045,,
318,0.1093,,
319,0.1139,,
320,0.1177,,
321,0.1215,,
322,0.1251,,
323,0.1287,,
324,0.1326,,
325,0.1362,,
326,0.141,,
327,0.146,,
328,0.1528,,
329,0.1604,,
330,0.1669,,
331,0.1744,,
332,0.1816,,
333,0.1866,,
334,0.191,,
335,0.1925,,
336,0.1916,,
337,0.1876,,
338,0.1813,,
339,0.1732,,
340,0.1639,,
341,0.1543,,
342,0.1438,,
343,0.1348,,
344,0.1265,,
345,0.1184,,
346,0.1105,,
347,0.104,,
348,0.0984,,
349,0.0928,,
350,0.0887,,
351,0.0845,,
352,0.0809,,
353,0.0783,,
354,0.0749,,
355,0.0727,,
356,0.0701,,
357,0.0677,,
358,0.0651,,
359,0.0632,,
360,0.0608,,
361,0.0575,,
362,0.0552,,
363,0.0523,,
364,0.0495,,
365,0.0467,,
366,0.0442,,
367,0.0415,,
368,0.0388,,
369,0.0369,,
370,0.0352,,
371,0.0334,,
372,0.0319,,
373,0.0303,,
374,0.0292,,
375,0.0279,,
376,0.0266,,
377,0.0257,,
378,0.0247,,
379,0.0233,,
380,0.0222,,
381,0.0209,,
382,0.0194,,
383,0.0183,,
384,0.017,,
385,0.016,,
386,0.0147,,
387,0.0136,,
388,0.0127,,
389,0.012,,
390,0.0113,,
391,0.0108,,
392,0.0104,,
393,0.0104,,
394,0.01,,
395,0.01,,
396,0.0101,,
397,0.01,,
398,0.0102,,
399,0.0103,,
400,0.0106,,
401,0.0111,,
402,0.0114,,
403,0.0117,,
404,0.0122,,
405,0.0127,,
406,0.0135,,
407,0.0139,,
408,0.0147,,
409,0.0154,,
410,0.0162,,
411,0.017,,
412,0.0177,,
413,0.0187,,
414,0.0196,,
415,0.0208,,
416,0.0216,,
417,0.0229,,
418,0.0241,,
419,0.0253,,
420,0.0265,,
421,0.0277,,
422,0.029,,
423,0.0305,,
424,0.0321,,
425,0.0335,,
426,0.035,,
427,0.0368,,
428,0.0387,,
429,0.0403,,
430,0.0422,,
431,0.044,,
432,0.0462,,
433,0.0486,,
434,0.0505,,
435,0.0529,,
436,0.0555,,
437,0.0579,,
438,0.061,,
439,0.0631,,
440,0.0663,,
441,0.0693,,
442,0.0722,,
443,0.0752,,
444,0.0784,,
445,0.0817,,
446,0.0855,,
447,0.089,,
448,0.0923,,
449,0.0961,,
450,0.0984,,
451,0.1023,,
452,0.106,,
453,0.1094,,
454,0.1137,,
455,0.1171,,
456,0.121,,
457,0.1248,,
458,0.1281,,
459,0.1323,,
460,0.1367,,
461,0.1407,,
462,0.1451,,
463,0.1487,,
464,0.1531,,
465,0.1587,,
466,0.1644,,
467,0.1685,,
468,0.1724,,
469,0.1778,,
470,0.1843,,
471,0.191,,
472,0.1974,,
473,0.2016,,
474,0.2062,,
475,0.2139,,
476,0.22,,
477,0.2253,,
478,0.2309,,
479,0.2361,,
480,0.2407,,
481,0.2446,,
482,0.248,,
483,0.2524,,
484,0.2566,,
485,0.2601,,
486,0.2637,,
487,0.2677,,
488,0.2715,,
489,0.2751,,
490,0.2805,,
491,0.2855,,
492,0.2886,,
493,0.2933,,
494,0.3007,,
495,0.3067,,
496,0.3149,,
497,0.3248,,
498,0.3332,,
499,0.3422,,
500,0.355,,
501,0.3662,,
502,0.3794,,
503,0.3921,,
504,0.4051,,
505,0.4198,,
506,0.4343,,
507,0.4495,,
508,0.4635,,
509,0.4797,,
510,0.493,,
511,0.5073,,
512,0.5216,,
513,0.5339,,
514,0.5461,,
515,0.557,,
516,0.5678,,
517,0.5759,,
518,0.5826,,
519,0.5878,,
520,0.5932,,
521,0.5989,,
522,0.6007,,
523,0.605,,
524,0.6064,,
525,0.6096,,
526,0.6114,,
527,0.6132,,
528,0.6188,,
529,0.624,,
530,0.6288,0.0025,
531,0.6345,0.003,
532,0.6441,0.0037,
533,0.6534,0.0046,
534,0.6641,0.0053,
535,0.6762,0.0065,
536,0.6904,0.0078,
537,0.7069,0.0108,
538,0.721,0.0161,
539,0.7424,0.0205,
540,0.7607,0.0219,
541,0.7787,0.0218,
542,0.799,0.0236,
543,0.8216,0.0267,
544,0.8413,0.0323,
545,0.8633,0.0383,
546,0.8847,0.0452,
547,0.9061,0.0536,
548,0.9244,0.0638,
549,0.9446,0.0761,
550,0.9606,0.0882,
551,0.9733,0.1043,
552,0.9841,0.1209,
553,0.9958,0.1414,
554,1.0,0.1638,
555,0.9993,0.188,
556,0.9952,0.2171,
557,0.9885,0.2469,
558,0.9749,0.2809,
559,0.9578,0.3176,
560,0.9388,0.3562,
561,0.9119,0.3975,
562,0.879,0.4412,
563,0.8451,0.4854,
564,0.806,0.5315,
565,0.7646,0.5778,
566,0.7234,0.6254,
567,0.6764,0.6691,
568,0.6323,0.7156,
569,0.5865,0.7557,
570,0.5414,0.7965,
571,0.4953,0.8326,
572,0.4523,0.8681,
573,0.4105,0.8959,
574,0.3704,0.9247,
575,0.3316,0.9438,
576,0.2973,0.9648,
577,0.2645,0.9767,
578,0.2352,0.9864,
579,0.2086,0.9959,
580,0.1857,0.9957,
581,0.1636,1.0,
582,0.1444,0.9983,
583,0.1258,0.9957,
584,0.1085,0.9882,
585,0.0957,0.9788,
586,0.0837,0.9698,
587,0.0722,0.96,
588,0.0621,0.9457,
589,0.0548,0.9338,
590,0.0477,0.9249,
591,0.041,0.9095,
592,0.0357,0.8958,
593,0.0309,0.8823,
594,0.0272,0.8693,
595,0.0234,0.8562,
596,0.0206,0.8431,
597,0.0179,0.8278,
598,0.0158,0.8159,
599,0.0133,0.8024,
600,0.0117,0.7926,
601,0.01,0.7804,
602,0.0086,0.7702,
603,0.0076,0.7563,
604,0.0067,0.7467,
605,0.0058,0.7372,
606,0.005,0.7291,
607,0.0045,0.716,
608,0.0039,0.7059,
609,0.0033,0.6961,
610,0.003,0.6892,
611,0.0025,0.6792,
612,0.0022,0.6728,
613,0.0019,0.6613,
614,0.0016,0.652,
615,0.0015,0.6423,
616,0.0013,0.632,
617,0.0011,0.6239,
618,0.001,0.6157,
619,0.0008,0.6022,
620,0.0007,0.5917,
621,0.0006,0.5842,
622,0.0006,0.5758,
623,0.0005,0.5618,
624,0.0004,0.5521,
625,0.0004,0.5409,
626,0.0003,0.5334,
627,0.0003,0.5216,
628,0.0003,0.5075,
629,0.0002,0.4987,
630,0.0002,0.4907,
631,,0.4775,
632,,0.4655,
633,,0.4558,
634,,0.4429,
635,,0.4344,
636,,0.424,
637,,0.4122,
638,,0.4021,
639,,0.3934,
640,,0.3824,
641,,0.3733,
642,,0.3622,
643,,0.3549,
644,,0.3475,
645,,0.3362,
646,,0.3268,
647,,0.317,
648,,0.3079,
649,,0.2996,
650,,0.2906,
651,,0.2856,
652,,0.2737,
653,,0.2678,
654,,0.2601,
655,,0.2518,
656,,0.2431,
657,,0.2348,
658,,0.2272,
659,,0.2227,
660,,0.2166,
661,,0.2097,
662,,0.2041,
663,,0.1992,
664,,0.1941,
665,,0.188,
666,,0.1834,
667,,0.1784,
668,,0.1709,
669,,0.1676,
670,,0.1634,
671,,0.1598,
672,,0.1531,
673,,0.1501,
674,,0.1459,
675,,0.1419,
676,,0.139,
677,,0.135,
678,,0.1309,
679,,0.1281,
680,,0.1228,1.0833
681,,0.1187,1.1025
682,,0.1168,1.1154
683,,0.1138,1.1219
684,,0.1104,1.122
685,,0.1067,1.1196
686,,0.1039,1.1075
687,,0.102,1.0831
688,,0.0984,1.0543
689,,0.0963,1.0304
690,,0.0934,1.0091
691,,0.0907,0.9916
692,,0.088,0.9735
693,,0.0856,0.9515
694,,0.0823,0.9261
695,,0.0813,0.8974
696,,0.079,0.8694
697,,0.075,0.8461
698,,0.0744,0.8239
699,,0.0728,0.799
700,,0.0693,0.7727
701,,,0.7471
702,,,0.7233
703,,,0.7009
704,,,0.6807
705,,,0.6637
706,,,0.6471
707,,,0.6286
708,,,0.6117
709,,,0.5971
710,,,0.5837
711,,,0.571
712,,,0.5597
713,,,0.5492
714,,,0.5402
715,,,0.5333
716,,,0.5273
717,,,0.5199
718,,,0.5127
719,,,0.5074
720,,,0.5025
721,,,0.4958
722,,,0.4894
723,,,0.4845
724,,,0.4806
725,,,0.4773
726,,,0.4762
727,,,0.4791
728,,,0.4825
729,,,0.4828
730,,,0.4816
731,,,0.4804
732,,,0.4786
733,,,0.4754
734,,,0.472
735,,,0.471
736,,,0.4694
737,,,0.4646
738,,,0.4586
739,,,0.452
740,,,0.4449
741,,,0.439
742,,,0.4351
743,,,0.4341
744,,,0.4331
745,,,0.4304
746,,,0.4254
747,,,0.4163
748,,,0.4059
749,,,0.3966
750,,,0.3877
751,,,0.38
752,,,0.3723
753,,,0.364
754,,,0.3544
755,,,0.3432
756,,,0.3318
757,,,0.3209
758,,,0.3107
759,,,0.302
760,,,0.2932
761,,,0.2828
762,,,0.2716
763,,,0.2606
764,,,0.2491
765,,,0.2359
766,,,0.2223
767,,,0.2099
768,,,0.1978
769,,,0.1856
770,,,0.1741
771,,,0.1638
772,,,0.1531
773,,,0.1406
774,,,0.1282
775,,,0.1173
776,,,0.1077
777,,,0.0994
778,,,0.0925
779,,,0.0864
780,,,0.0812
781,,,0.0766
782,,,0.0732
783,,,0.0706
784,,,0.0691
785,,,0.0687
786,,,0.0689
787,,,0.0685
788,,,0.068
789,,,0.0672
790,,,0.0661
791,,,0.065
792,,,0.0643
793,,,0.0644
794,,,0.0645
795,,,0.0645
796,,,0.0641
797,,,0.0627
798,,,0.0609
799,,,0.0591
800,,,0.0571
801,,,0.0542
802,,,0.0511
803,,,0.048
804,,,0.045
805,,,0.0421
806,,,0.0397
807,,,0.0377
808,,,0.036
809,,,0.0347
810,,,0.0341
811,,,0.0337
812,,,0.0337
813,,,0.0346
814,,,0.0354
815,,,0.0354
816,,,0.035
817,,,0.0342
818,,,0.0329
819,,,0.0314
820,,,0.0304
821,,,0.0311
822,,,0.0325
823,,,0.0336
824,,,0.0345
825,,,0.0353
826,,,0.036
827,,,0.0364
828,,,0.0369
829,,,0.0378
830,,,0.0388
831,,,0.0397
832,,,0.0407
833,,,0.0416
834,,,0.0424
835,,,0.0431
836,,,0.0439
837,,,0.0451
838,,,0.0466
839,,,0.0482
840,,,0.0494
841,,,0.0504
842,,,0.0515
843,,,0.0528
844,,,0.0542
845,,,0.0562
846,,,0.058
847,,,0.0584
848,,,0.0586
849,,,0.0594
850,,,0.0607
851,,,0.0628
852,,,0.0651
853,,,0.0672
854,,,0.0685
855,,,0.0686
856,,,0.0686
857,,,0.0693
858,,,0.0708
859,,,0.0733
860,,,0.0761
861,,,0.0787
862,,,0.0814
863,,,0.0841
864,,,0.0869
865,,,0.0903
866,,,0.0935
867,,,0.0961
868,,,0.0982
869,,,0.0997
870,,,0.1011
871,,,0.1029
872,,,0.1047
873,,,0.1063
874,,,0.1073
875,,,0.1078
876,,,0.1081
877,,,0.108
878,,,0.1083
879,,,0.1098
880,,,0.112
881,,,0.1146
882,,,0.1174
883,,,0.1193
884,,,0.1207
885,,,0.1224
886,,,0.1245
887,,,0.1268
888,,,0.1295
889,,,0.1335
890,,,0.1371
891,,,0.1381
892,,,0.1385
893,,,0.1406
894,,,0.1432
895,,,0.1452
896,,,0.1478
897,,,0.1518
898,,,0.1555
899,,,0.1581
900,,,0.1609
901,,,0.1638
902,,,0.1668
903,,,0.171
904,,,0.1758
905,,,0.1796
906,,,0.183
907,,,0.1863
908,,,0.1891
909,,,0.1907
910,,,0.1929
911,,,0.1974
912,,,0.2023
913,,,0.2064
914,,,0.2107
915,,,0.2164
916,,,0.222
917,,,0.2258
918,,,0.229
919,,,0.2329
920,,,0.2369
921,,,0.24
922,,,0.2437
923,,,0.2495
924,,,0.2555
925,,,0.2596
926,,,0.2633
927,,,0.2674
928,,,0.2717
929,,,0.2764
930,,,0.2821
931,,,0.2888
932,,,0.295
933,,,0.2997
934,,,0.304
935,,,0.3093
936,,,0.3148
937,,,0.3196
938,,,0.3231
939,,,0.3252
940,,,0.3264
941,,,0.3272
942,,,0.3286
943,,,0.3319
944,,,0.3349
945,,,0.3365
946,,,0.337
947,,,0.336
948,,,0.3344
949,,,0.3333
950,,,0.3328
951,,,0.3328
952,,,0.3335
953,,,0.3356
954,,,0.3384
955,,,0.3409
956,,,0.3438
957,,,0.3467
958,,,0.3498
959,,,0.354
960,,,0.359
961,,,0.3637
962,,,0.368
963,,,0.3721
964,,,0.3757
965,,,0.3785
966,,,0.3816
967,,,0.3852
968,,,0.3887
969,,,0.3927
970,,,0.3974
971,,,0.4023
972,,,0.4072
973,,,0.412
974,,,0.4159
975,,,0.4178
976,,,0.4192
977,,,0.4214
978,,,0.4237
979,,,0.4258
980,,,0.4287
981,,,0.4333
982,,,0.4386
983,,,0.4437
984,,,0.4483
985,,,0.451
986,,,0.4531
987,,,0.4568
988,,,0.4618
989,,,0.4678
990,,,0.4739
991,,,0.4793
992,,,0.4835
993,,,0.4862
994,,,0.4895
995,,,0.4948
996,,,0.5006
997,,,0.5052
998,,,0.51
999,,,0.5166
1000,,,0.5243
1001,,,0.531
1002,,,0.5382
1003,,,0.5484
1004,,,0.5597
1005,,,0.5695
1006,,,0.5798
1007,,,0.5921
1008,,,0.6041
1009,,,0.6143
1010,,,0.6255
1011,,,0.6396
1012,,,0.6539
1013,,,0.6659
1014,,,0.6776
1015,,,0.6898
1016,,,0.7034
1017,,,0.7197
1018,,,0.7377
1019,,,0.756
1020,,,0.7734
1021,,,0.7895
1022,,,0.804
1023,,,0.8157
1024,,,0.826
1025,,,0.837
1026,,,0.8467
1027,,,0.8531
1028,,,0.8594
1029,,,0.8694
1030,,,0.881
1031,,,0.8935
1032,,,0.9066
1033,,,0.919
1034,,,0.9294
1035,,,0.9375
1036,,,0.9453
1037,,,0.9545
1038,,,0.9627
1039,,,0.9681
1040,,,0.9706
1041,,,0.9695
1042,,,0.9681
1043,,,0.9701
1044,,,0.9745
1045,,,0.9814
1046,,,0.988
1047,,,0.9911
1048,,,0.9922
1049,,,0.9928
1050,,,0.9938
1051,,,0.9974
1052,,,1.0
1053,,,0.9982
1054,,,0.9923
1055,,,0.9831
1056,,,0.9737
1057,,,0.9681
1058,,,0.9638
1059,,,0.9571
1060,,,0.9488
1061,,,0.9415
1062,,,0.9361
1063,,,0.9328
1064,,,0.9306
1065,,,0.9277
1066,,,0.9221
1067,,,0.9135
1068,,,0.9065
1069,,,0.9024
1070,,,0.9008
1071,,,0.9043
1072,,,0.9092
1073,,,0.9114
